title,year,genre,users_rating,votes,languages,directors,runtime
Hantu Jeruk Purut,2006,Horror,4.7,54,Indonesian,Nayato Fio Nuala,
Heart,2006,Drama,6.6,291,Indonesian,Hanny Saputra,
Jakarta Undercover,2006,Thriller,6.2,72,Indonesian,Lance Laggong,
Jatuh Cinta Lagi,2006,Romance,5.1,11,Indonesian,Rizal Mantovani,
Jomblo,2006,Comedy,7.2,317,Indonesian,Hanung Bramantyo,
Koper,2006,Drama,5.1,15,Indonesian,Richard Oh,
Lentera Merah,2006,Drama,6,57,Indonesian,Hanung Bramantyo,
Maskot,2006,Comedy,6.6,22,Indonesian,Robin Moran,
Opera Jawa,2006,Drama,6.4,398,Indonesian,Garin Nugroho,
Pesan dari Surga,2006,Drama,5.7,34,Indonesian,Sekar Ayu Asmara,
Pocong,2006,Drama,5.6,39,Indonesian,Rudy Soedjarwo,
Pocong 2,2006,Horror,6.5,139,Indonesian,Rudy Soedjarwo,98 min
"Realita, Cinta, dan Rock n' Roll",2006,Drama,6.7,281,Indonesian,Upi Avianto,114 min
Ruang,2006,,7.1,27,Indonesian,Teddy Soeriaatmadja,
The Chanting,2006,Horror,6.1,403,Indonesian,Rizal Mantovani,
12:00 A.M.,2005,Drama,3.6,23,Indonesian,Nayato Fio Nuala,105 min
Alexandria,2005,Drama,7.3,87,Indonesian,Ody C. Harahap,110 min
Bad Wolves,2005,Action,6.9,11,Indonesian,Richard Buntario,122 min
Banyu Biru,2005,Drama,6.4,117,Indonesian,Teddy Soeriaatmadja,
Belahan Jiwa,2005,Thriller,6.5,54,Indonesian,Sekar Ayu Asmara,
Brownies,2005,,6,38,Indonesian,Hanung Bramantyo,
Catatan Akhir Sekolah,2005,Comedy,7.4,447,Indonesian,Hanung Bramantyo,109 min
Detik Terakhir,2005,,7.2,15,Indonesian,Nanang Istiabudi,
Gie,2005,Biography,7.6,840,Indonesian,Riri Riza,147 min
Issue,2005,Thriller,6.2,6,Indonesian,Gunawan Paggaru,
Janji Joni,2005,Adventure,7.6,"1,240",English,Joko Anwar,
Me vs. High Heels,2005,,5.4,16,Indonesian,Nayato Fio Nuala,118 min
Mirror,2005,Horror,6.9,71,Indonesian,Hanny Saputra,112 min
Panggil Namaku 3×,2005,Horror,5.4,21,Indonesian,Nayato Fio Nuala,97 min
Tentang Dia,2005,Drama,7.2,78,Indonesian,Rudy Soedjarwo,105 min
Ungu Violet,2005,Drama,6.4,110,Indonesian,Rako Prijanto,
Untuk Rena,2005,Drama,7.3,36,Indonesian,Riri Riza,105 min
Vina Bilang Cinta,2005,Romance,5.2,10,Indonesian,Indra Yudhistira,
Virgin,2005,Drama,5.8,63,Indonesian,Hanny Saputra,114 min
What Love Means,2005,Comedy,5.5,49,Indonesian,Sunil Soraya,
30 Hari Mencari Cinta,2004,Comedy,6,201,Indonesian,Upi Avianto,
Bangsal 13,2004,Horror,6.6,20,Indonesian,Ody C. Harahap,94 min
Impian Kemarau,2004,Drama,7.4,16,Indonesian,Ravi L. Bharwani,86 min
Kejar Amerika,2004,Adventure,5.9,39,Indonesian,David Sungkar,
Lovely Luna,2004,Drama,4.9,14,Indonesian,Lasja Fauzia,92 min
Mengejar Matahari,2004,Drama,7.1,233,Indonesian,Rudy Soedjarwo,86 min
Petualangan 100 Jam,2004,Drama,6.8,6,Indonesian,Winaldha E. Melalatoa,109 min
Rindu Kami Padamu,2004,Drama,6.9,49,Indonesian,Garin Nugroho,
Satu Kecupan,2004,Comedy,3.9,7,Indonesian,Findo Poernowo,87 min
Tak Biasa,2004,Comedy,7.2,5,Indonesian,Jose Poernomo,146 min
Arisan!,2003,Comedy,7.2,771,Indonesian,Nia Di Nata,129 min
Biarkan Bintang Menari,2003,Drama,5.9,53,Indonesian,Indra Yudhistira,112 min
Biola Tak Berdawai,2003,Drama,6.7,94,Indonesian,Sekar Ayu Asmara,
Cinta 24 Karat,2003,Comedy,3.2,13,Indonesian,Richard Buntario,
Eiffel I'm in Love,2003,Drama,6.1,470,Indonesian,Nasri Cheppy,262 min
Kiamat Sudah Dekat,2003,Comedy,7,103,Indonesian,Deddy Mizwar,116 min
Rumah Ketujuh,2003,Comedy,5,31,Indonesian,Rudy Soedjarwo,
Singa Karawang Bekasi,2003,Drama,6.1,7,Indonesian,Nurul M. Berry,
Tusuk Jelangkung,2003,Horror,6,136,Indonesian,Dimas Djayadiningrat,
Untukmu,2003,Drama,6.2,8,Indonesian,Asun Mawardi,
5 Sehat 4 Sempurna,2002,Comedy,6,27,Indonesian,Richard Buntario,
Aku Ingin Menciummu Sekali Saja,2002,Comedy,6.6,41,Indonesian,Garin Nugroho,
Andai Ia Tahu,2002,Comedy,6,45,Indonesian,Indra Yudhistira,
Arwah yang Kembali,2002,Drama,5.8,6,Indonesian,Anto Airlangga,
Bendera,2002,Family,7.1,11,Indonesian,Nan Triveni Achnas,75 min
